distance_km,payload_tonnes,headwind_kts,cruise_altitude_ft,aircraft_type,fuel_kg,fuel_per_km
1900,17.9,-15,37500,A320,7152,3.7642105263157895
1910,8.8,-6,36000,B737,7255,3.798429319371728
1940,10.8,-5,32000,B737,7414,3.8216494845360827
2010,11.9,15,35000,A320,7544,3.753233830845771
2030,16.4,5,36500,B737,7567,3.7275862068965515
2090,16.6,5,31000,B737,7914,3.786602870813397
2140,13.8,-25,31000,A320,7835,3.661214953271028
2240,7.9,39,35500,B737,8109,3.6200892857142857
2400,8.0,-30,37000,A320,8447,3.5195833333333333
2430,17.1,0,33500,A320,8886,3.65679012345679
2430,12.5,23,31500,B737,9008,3.7069958847736624
2490,11.4,5,31000,A320,8795,3.532128514056225
2500,16.0,30,31000,B737,9269,3.7076
2670,8.0,15,34000,B737,9459,3.542696629213483
2680,15.6,37,36000,A320,9741,3.6347014925373133
2710,9.2,-2,36000,B737,9556,3.52619926199262
2770,8.3,-18,37500,B737,9587,3.4610108303249096
2830,10.7,21,33500,A320,10070,3.558303886925795
2850,7.3,16,35500,A320,9804,3.44
2880,8.9,-30,32500,B737,10128,3.5166666666666666
2930,9.0,-24,32000,B737,10097,3.446075085324232
2940,16.4,8,39000,A320,10117,3.441156462585034
2940,14.0,11,37000,B737,10288,3.4993197278911565
2940,6.2,23,38500,B737,10430,3.5476190476190474
2960,15.5,-9,32000,B737,10480,3.5405405405405403
3020,17.2,-4,36000,B737,10682,3.537086092715232
3020,13.4,38,38500,B737,10387,3.439403973509934
3030,17.8,-6,35500,B737,10362,3.4198019801980197
3070,7.5,30,33500,A320,10434,3.3986970684039086
3090,15.2,13,32500,B737,10891,3.5245954692556634
3090,17.3,-16,35000,B737,10736,3.474433656957929
3100,12.1,-14,36500,A320,10755,3.4693548387096773
3180,11.1,40,36000,B737,11043,3.4726415094339624
3180,14.4,-14,38500,B737,11246,3.536477987421384
3220,7.3,-11,31500,A320,11113,3.4512422360248447
3230,11.6,2,36500,A320,11129,3.445510835913313
3250,8.6,33,37000,B737,11318,3.4824615384615383
3310,11.6,26,34000,B737,11651,3.519939577039275
3340,16.8,21,36500,B737,11476,3.435928143712575
3340,12.0,37,33500,B737,11798,3.5323353293413176
3340,16.3,18,38500,A320,11499,3.442814371257485
3380,7.2,8,32500,A320,11576,3.424852071005917
3380,9.9,1,32000,B737,11766,3.4810650887573966
3400,12.3,40,31000,B737,11919,3.5055882352941174
3430,11.9,4,37500,A320,11549,3.3670553935860057
3450,10.6,-6,35000,A320,11589,3.3591304347826085
3460,7.8,-10,39000,A320,11674,3.373988439306358
3480,14.0,40,35500,A320,11968,3.439080459770115
3480,16.0,40,38000,B737,11952,3.43448275862069
3500,10.9,-30,35500,B737,11886,3.396
3510,12.9,-22,31500,B737,12044,3.4313390313390313
3520,7.1,0,35500,B737,12153,3.4525568181818183
3530,16.9,-27,32000,A320,11841,3.3543909348441927
3550,9.3,-21,35500,A320,11780,3.3183098591549296
3590,16.0,-25,31000,B737,12372,3.4462395543175486
3600,14.5,25,33500,B737,12633,3.5091666666666668
3620,6.3,5,34500,A320,12206,3.3718232044198895
3640,7.7,-13,34500,B737,12356,3.3945054945054944
3640,7.6,29,33500,B737,12596,3.4604395604395606
3650,11.4,-28,32000,B737,12449,3.4106849315068493
3730,15.3,-20,34500,A320,12641,3.3890080428954423
3750,13.5,-15,35500,B737,12768,3.4048
3780,14.4,-21,33500,B737,12804,3.3873015873015873
3780,11.3,36,38000,B737,12740,3.3703703703703702
3810,13.1,-26,31000,A320,13046,3.4241469816272967
3900,14.5,-22,37500,A320,13034,3.342051282051282
3910,6.6,1,32500,B737,13174,3.369309462915601
